unit,long,lat
Abergavenny,-3.023,51.823
Abergavenny.RD,-2.998,51.842
Aberystwyth,-4.082,52.413
Aberystwyth.RD,-3.935,52.415
Abingdon,-1.285,51.673
Abingdon.RD,-1.328,51.7
Alnwick,-1.708,55.415
Alnwick.RD,-1.693,55.423
Alton,-0.978,51.15
Alton.RD,-0.937,51.122
Ampthill,-0.492,52.025
Ampthill.RD,-0.522,52.027
Andover,-1.478,51.207
Andover.RD,-1.507,51.207
Ashbourne,-1.725,53.015
Ashbourne.RD,-1.683,53.015
Ashby.de.la.Zouch,-1.475,52.745
Ashby.de.la.Zouch.RD,-1.46,52.727
Aylesbury,-0.818,51.813
Aylesbury.RD,-0.92,51.823
Bakewell,-1.678,53.213
Bakewell.RD,-1.693,53.24
Banbury,-1.337,52.06
Banbury.RD,-1.367,52.015
Barnard.Castle,-1.915,54.543
Barnard.Castle.RD,-1.885,54.633
Barnstaple,-4.05,51.082
Barnstaple.RD,-4.037,51.118
Basingstoke,-1.09,51.267
Basingstoke.RD,-1.092,51.24
Bedford,-0.46,52.133
Bedford.RD,-0.472,52.197
Belper,-1.472,53.023
Belper.RD,-1.502,53.023
Beverley,-0.412,53.85
Beverley.RD,-0.488,53.828
Bideford,-4.218,51.017
Bideford.RD,-4.358,50.968
Biggleswade,-0.257,52.085
Biggleswade.RD,-0.315,52.068
Blackburn,-2.478,53.742
Blackburn.RD,-2.523,53.77
Boston,-0.012,52.98
Boston.RD,-0.043,52.955
Brackley,-1.148,52.032
Brackley.RD,-1.19,52.077
Brecknock,-3.39,51.947
Brecknock.RD,-3.433,51.945
Bridgnorth,-2.422,52.538
Bridgnorth.RD,-2.435,52.493
Bridgwater,-2.993,51.132
Bridgwater.RD,-2.98,51.132
Bridport,-2.758,50.728
Bridport.RD,-2.787,50.738
Bromsgrove,-2.067,52.332
Bromsgrove.RD,-2.008,52.35
Bromyard,-2.505,52.187
Bromyard.RD,-2.505,52.178
Buckingham,-0.988,51.995
Buckingham.RD,-0.973,51.987
Burnley,-2.252,53.788
Burnley.RD,-2.282,53.797
Cardiff,-3.175,51.482
Cardiff.RD,-3.305,51.488
Carmarthen,-4.303,51.86
Carmarthen.RD,-4.39,51.858
Chard,-2.96,50.872
Chard.RD,-2.903,50.898
Chelmsford,0.468,51.73
Chelmsford.RD,0.497,51.722
Cheltenham,-2.08,51.9
Cheltenham.RD,-2.023,51.963
Chepstow,-2.673,51.638
Chepstow.RD,-2.76,51.637
Chesterfield,-1.423,53.238
Chesterfield.RD,-1.455,53.203
Chichester,-0.772,50.833
Chichester.RD,-0.772,50.868
Chipping.Norton,-1.543,51.935
Chipping.Norton.RD,-1.485,51.89
Cirencester,-1.965,51.712
Cirencester.RD,-1.95,51.72
Cockermouth,-3.357,54.662
Cockermouth.RD,-3.293,54.617
Congleton,-2.203,53.168
Congleton.RD,-2.292,53.168
Cowbridge,-3.447,51.46
Cowbridge.RD,-3.477,51.478
Cuckfield,-0.14,51.005
Cuckfield.RD,-0.14,51.022
Darlington,-1.56,54.525
Darlington.RD,-1.56,54.56
Dartford,0.193,51.44
Dartford.RD,0.248,51.385
Daventry,-1.158,52.257
Daventry.RD,-1.143,52.265
Devizes,-1.993,51.352
Devizes.RD,-1.98,51.333
Dolgellau,-3.89,52.74
Dolgellau.RD,-3.905,52.757
Doncaster,-1.133,53.515
Doncaster.RD,-1.163,53.56
Dover,1.308,51.125
Dover.RD,1.267,51.153
Driffield,-0.437,54.012
Driffield.RD,-0.467,54.003
Droitwich,-2.155,52.268
Droitwich.RD,-2.125,52.26
Durham,-1.573,54.777
Durham.RD,-1.542,54.777
E.Retford,-0.942,53.317
E.Retford.RD,-0.912,53.333
Ely,0.27,52.4
Ely.RD,0.21,52.383
Eton,-0.61,51.488
Eton.RD,-0.58,51.542
Evesham,-1.95,52.09
Evesham.RD,-1.92,52.117
Frome,-2.323,51.225
Frome.RD,-2.367,51.243
Gainsborough,-0.775,53.395
Gainsborough.RD,-0.685,53.395
Gloucester,-2.24,51.865
Gloucester.RD,-2.27,51.847
Goole,-0.872,53.702
Goole.RD,-0.9,53.68
Grimsby,-0.075,53.567
Grimsby.RD,-0.122,53.54
Guildford,-0.575,51.235
Guildford.RD,-0.558,51.238
Halstead,0.64,51.943
Halstead.RD,0.598,51.988
Haverfordwest,-4.967,51.8
Haverfordwest.RD,-5.0,51.872
Hay,-3.132,52.075
Hay.RD,-3.188,52.002
Hemsworth,-1.358,53.617
Hemsworth.RD,-1.328,53.588
Hereford,-2.708,52.06
Hereford.RD,-2.693,52.042
Hertford,-0.08,51.795
Hertford.RD,-0.108,51.795
Hexham,-2.102,54.965
Hexham.RD,-2.133,54.957
Holywell,-3.223,53.27
Holywell.RD,-3.237,53.235
Honiton,-3.185,50.797
Honiton.RD,-3.172,50.825
Horncastle,-0.107,53.207
Horncastle.RD,-0.152,53.208
Horsham,-0.323,51.07
Horsham.RD,-0.338,51.052
Huntingdon,-0.173,52.337
Huntingdon.RD,-0.275,52.373
Kettering,-0.715,52.397
Kettering.RD,-0.758,52.433
Kidderminster,-2.258,52.385
Kidderminster.RD,-2.302,52.377
Kingsbridge,-3.777,50.287
Kingsbridge.RD,-3.807,50.295
Kington,-3.032,52.202
Kington.RD,-2.973,52.212
Knighton,-3.05,52.345
Knighton.RD,-3.212,52.362
Lancaster,-2.803,54.047
Lancaster.RD,-2.74,53.993
Launceston,-4.355,50.635
Launceston.RD,-4.438,50.598
Ledbury,-2.43,52.035
Ledbury.RD,-2.475,52.062
Leek,-2.023,53.105
Leek.RD,-1.978,53.123
Lichfield,-1.83,52.683
Lichfield.RD,-1.787,52.692
Liskeard,-4.458,50.453
Liskeard.RD,-4.487,50.453
Llandeilo,-3.998,51.883
Llandeilo.RD,-3.928,51.957
Llanelli,-4.163,51.683
Llanelli.RD,-4.18,51.727
Llanfyllin,-3.268,52.765
Llanfyllin.RD,-3.357,52.738
Louth,0.005,53.367
Louth.RD,0.053,53.402
Ludlow,-2.713,52.367
Ludlow.RD,-2.67,52.42
Luton,-0.41,51.88
Luton.RD,-0.525,51.91
Macclesfield,-2.128,53.258
Macclesfield.RD,-2.133,53.267
Machynlleth,-3.853,52.587
Machynlleth.RD,-3.735,52.598
Maidstone,0.53,51.27
Maidstone.RD,0.625,51.178
Maldon,0.672,51.735
Maldon.RD,0.687,51.743
Malton,-0.8,54.133
Malton.RD,-0.907,54.133
Market.Harborough,-0.918,52.48
Market.Harborough.RD,-0.932,52.533
Monmouth,-2.718,51.808
Monmouth.RD,-2.792,51.798
Morpeth,-1.678,55.163
Morpeth.RD,-1.725,55.217
Nantwich,-2.515,53.068
Nantwich.RD,-2.545,53.077
Narberth,-4.748,51.797
Narberth.RD,-4.748,51.787
Neath,-3.815,51.662
Neath.RD,-3.703,51.708
Newark,-0.813,53.072
Newark.RD,-0.783,53.098
Newbury,-1.318,51.403
Newbury.RD,-1.347,51.422
Newcastle.Emlyn,-4.472,52.037
Newcastle.Emlyn.RD,-3.985,51.91
Newcastle.under.Lyme,-2.217,53.015
Newcastle.under.Lyme.RD,-2.335,52.962
Newmarket,0.408,52.245
Newmarket.RD,0.322,52.273
Newport.Pagnell,-0.723,52.082
Newport.Pagnell.RD,-0.723,52.1
Newton.Abbot,-3.602,50.532
Newton.Abbot.RD,-3.688,50.567
Northallerton,-1.423,54.345
Northallerton.RD,-1.423,54.38
Northampton,-0.895,52.247
Northampton.RD,-0.882,52.202
Northwich,-2.518,53.257
Northwich.RD,-2.562,53.22
Norton,-0.8,54.123
Norton.RD,-0.647,54.105
Oakham,-0.737,52.677
Oakham.RD,-0.677,52.675
Okehampton,-4.007,50.742
Okehampton.RD,-4.022,50.758
Oswestry,-3.048,52.858
Oswestry.RD,-3.003,52.85
Pembroke,-4.915,51.675
Pembroke.RD,-4.872,51.678
Penrith,-2.753,54.667
Penrith.RD,-2.785,54.712
Peterborough,-0.237,52.58
Peterborough.RD,-0.293,52.635
Petersfield,-0.938,51.005
Petersfield.RD,-0.997,50.997
Pickering,-0.78,54.25
Pickering.RD,-0.748,54.285
Pontypool,-3.035,51.698
Pontypool.RD,-2.962,51.698
Preston,-2.707,53.76
Preston.RD,-2.722,53.777
Rotherham,-1.347,53.427
Rotherham.RD,-1.287,53.4
Rugby,-1.258,52.375
Rugby.RD,-1.332,52.393
Runcorn,-2.713,53.328
Runcorn.RD,-2.638,53.32
Ruthin,-3.308,53.117
Ruthin.RD,-3.322,53.125
S.Molton,-3.833,51.013
S.Molton.RD,-3.753,50.988
Saffron.Walden,0.252,52.023
Saffron.Walden.RD,0.235,51.987
Scarborough,-0.412,54.282
Scarborough.RD,-0.487,54.292
Selby,-1.067,53.785
Selby.RD,-1.062,53.748
Sevenoaks,0.187,51.278
Sevenoaks.RD,0.142,51.242
Shaftesbury,-2.193,51.002
Shaftesbury.RD,-2.222,50.983
Shepton.Mallet,-2.552,51.188
Shepton.Mallet.RD,-2.508,51.188
Sherborne,-2.52,50.947
Sherborne.RD,-2.505,50.91
Skipton,-2.023,53.958
Skipton.RD,-2.002,54.003
Spalding,-0.155,52.785
Spalding.RD,-0.153,52.803
St.Albans,-0.327,51.753
