"X","Long","Lat"
"Abingdon.RD",-1.328,51.7
"Alnwick.RD",-1.693,55.423
"Alton.RD",-0.937,51.122
"Ampthill.RD",-0.522,52.027
"Andover.RD",-1.507,51.207
"Ashbourne.RD",-1.683,53.015
"Ashby.de.la.Zouch.RD",-1.46,52.727
"Aylesbury.RD",-0.92,51.823
"Bakewell.RD",-1.693,53.24
"Banbury.RD",-1.367,52.015
"Barnard.Castle.RD",-1.885,54.633
"Barnstaple.RD",-4.037,51.118
"Basingstoke.RD",-1.092,51.24
"Bedford.RD",-0.472,52.197
"Belper.RD",-1.502,53.023
"Beverley.RD",-0.488,53.828
"Bideford.RD",-4.358,50.968
"Biggleswade.RD",-0.315,52.068
"Blackburn.RD",-2.523,53.77
"Boston.RD",-0.043,52.955
"Brackley.RD",-1.19,52.077
"Bridgnorth.RD",-2.435,52.493
"Bridgwater.RD",-2.98,51.132
"Bridport.RD",-2.787,50.738
"Bromsgrove.RD",-2.008,52.35
"Bromyard.RD",-2.505,52.178
"Buckingham.RD",-0.973,51.987
"Burnley.RD",-2.282,53.797
"Chard.RD",-2.903,50.898
"Chelmsford.RD",0.497,51.722
"Cheltenham.RD",-2.023,51.963
"Chesterfield.RD",-1.455,53.203
"Chichester.RD",-0.772,50.868
"Chipping.Norton.RD",-1.485,51.89
"Cirencester.RD",-1.95,51.72
"Cockermouth.RD",-3.293,54.617
"Congleton.RD",-2.292,53.168
"Cuckfield.RD",-0.14,51.022
"Darlington.RD",-1.56,54.56
"Dartford.RD",0.248,51.385
"Daventry.RD",-1.143,52.265
"Devizes.RD",-1.98,51.333
"Doncaster.RD",-1.163,53.56
"Dover.RD",1.267,51.153
"Driffield.RD",-0.467,54.003
"Droitwich.RD",-2.125,52.26
"Durham.RD",-1.542,54.777
"E.Retford.RD",-0.912,53.333
"Ely.RD",0.21,52.383
"Eton.RD",-0.58,51.542
"Evesham.RD",-1.92,52.117
"Frome.RD",-2.367,51.243
"Gainsborough.RD",-0.685,53.395
"Gloucester.RD",-2.27,51.847
"Goole.RD",-0.9,53.68
"Grimsby.RD",-0.122,53.54
"Guildford.RD",-0.558,51.238
"Halstead.RD",0.598,51.988
"Hemsworth.RD",-1.328,53.588
"Hereford.RD",-2.693,52.042
"Hertford.RD",-0.108,51.795
"Hexham.RD",-2.133,54.957
"Honiton.RD",-3.172,50.825
"Horncastle.RD",-0.152,53.208
"Horsham.RD",-0.338,51.052
"Huntingdon.RD",-0.275,52.373
"Kettering.RD",-0.758,52.433
"Kidderminster.RD",-2.302,52.377
"Kingsbridge.RD",-3.807,50.295
"Kington.RD",-2.973,52.212
"Lancaster.RD",-2.74,53.993
"Launceston.RD",-4.438,50.598
"Ledbury.RD",-2.475,52.062
"Leek.RD",-1.978,53.123
"Lichfield.RD",-1.787,52.692
"Liskeard.RD",-4.487,50.453
"Louth.RD",0.053,53.402
"Ludlow.RD",-2.67,52.42
"Luton.RD",-0.525,51.91
"Macclesfield.RD",-2.133,53.267
