"","trend","dpopdt","pop","seas_1","seas_2","seas_3","seas_4","seas_5","seas_6"
"V1",-25.0800000000002,19622.7651420173,2420655.99999985,0.479166666666951,0.0208333333333902,0,0,0.0208333333332765,0.479166666666382
"V2",-25.0700000000002,19622.7217848358,2420852.22741803,0.515658666666903,0.0292693333333961,0,0,0.0141973333332946,0.440874666666406
"V3",-25.0600000000002,19622.6981703491,2421048.45450135,0.549702666666855,0.0397213333333998,0,0,0.00914533333330838,0.401430666666437
"V4",-25.0500000000002,19622.6942985571,2421244.68144724,0.580650666666808,0.0524053333334007,0,0,0.00546133333331843,0.361482666666472
"V5",-25.0400000000002,19622.7101694599,2421440.90845313,0.607854666666766,0.0675373333333982,0,0,0.00292933333332534,0.321678666666511
"V6",-25.0300000000002,19622.7457830574,2421637.13571644,0.630666666666729,0.0853333333333917,0,0,0.00133333333332969,0.28266666666655
"V7",-25.0200000000002,19622.8011393496,2421833.3634346,0.648438666666699,0.106009333333381,0,0,0.000457333333332085,0.245094666666589
"V8",-25.0100000000002,19622.8762383366,2422029.59180504,0.660522666666678,0.129781333333364,0,0,8.53333333331005e-05,0.209610666666625
"V9",-25.0000000000002,19622.9710800183,2422225.82102518,0.666270666666667,0.156865333333342,0,0,1.33333333332969e-06,0.176862666666657
"V10",-24.9900000000002,19623.0856643947,2422422.05129245,0.665098666666669,0.187434666666647,1.06666666666376e-05,0,0,0.147456000000017
"V11",-24.9800000000002,19623.2199914658,2422618.28280427,0.657166666666683,0.221166666666613,0.000166666666666212,0,0,0.121500000000037
"V12",-24.9700000000003,19623.3740612317,2422814.51575808,0.643114666666708,0.257418666666576,0.000682666666664804,0,0,0.0987840000000513
"V13",-24.9600000000003,19623.5478736924,2423010.7503513,0.62359066666674,0.295542666666537,0.00177466666666182,0,0,0.0790920000000609
"V14",-24.95,19623.7414288477,2423206.98678137,0.599242666666176,0.334890666667402,0.00365866666671016,0,0,0.0622079999997124
"V15",-24.9400000000001,19623.9547266978,2423403.2252457,0.570718666666132,0.37481466666737,0.00655066666672765,0,0,0.0479159999997702
"V16",-24.9300000000001,19624.1877672427,2423599.46594171,0.538666666666106,0.414666666667327,0.0106666666667467,0,0,0.0359999999998199
"V17",-24.9200000000001,19624.4405504823,2423795.70906685,0.503734666666097,0.453798666667274,0.0162226666667667,0,0,0.0262439999998621
"V18",-24.9100000000001,19624.7130764166,2423991.95481853,0.466570666666101,0.491562666667214,0.0234346666667872,0,0,0.0184319999998973
"V19",-24.9000000000001,19625.0053450456,2424188.20339419,0.427822666666118,0.527310666667148,0.0325186666668074,0,0,0.0123479999999262
"V20",-24.8900000000001,19625.3173563694,2424384.45499124,0.388138666666146,0.560394666667078,0.0436906666668269,0,0,0.00777599999994931
"V21",-24.8800000000001,19625.6491103879,2424580.70980712,0.348166666666183,0.590166666667005,0.0571666666668449,0,0,0.00449999999996726
"V22",-24.8700000000001,19626.0006071011,2424776.96803926,0.308554666666227,0.615978666666931,0.073162666666861,0,0,0.00230399999998062
"V23",-24.8600000000001,19626.3718465091,2424973.22988507,0.269950666666276,0.637182666666859,0.0918946666668746,0,0,0.00097199999998998
